root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940625952186,['aIPg3'],AVLP.807,ACH,intrinsic,central,,,['AVLP494'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,978,736
720575940609834052,['aIPg3'],AVLP.1057,ACH,intrinsic,central,,,['AVLP494'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,860,741
720575940619406661,['aIPg3'],AVLP.1655,ACH,intrinsic,central,,,['AVLP494'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,451,387
720575940623865417,['aIPg3'],AVLP.1194,ACH,intrinsic,central,,,['CB1795'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,485,584
720575940626044746,['aIPg3'],SIP.144,ACH,intrinsic,central,,,['CB3166'],VLPl&p1_posterior,,['feedforward_loop_participant'; '3_cycle_participant'],left,26,14
720575940636747854,['aIPg3'],ICL.SIP.4,ACH,intrinsic,central,,,['CB3330'],VLPl&p1_posterior,,['feedforward_loop_participant'],right,90,24
720575940615641428,['aIPg3'],SMP.GOR.1,ACH,intrinsic,central,,,['CB1618'],VLPl&p1_posterior,,['reciprocal'; 'feedforward_loop_participant'],left,47,34
720575940629531351,['aIPg3'],AVLP.1081,ACH,intrinsic,central,,,['CB1795'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,589,498
720575940632809823,['aIPg3'],SMP.SIP.90,ACH,intrinsic,central,,,['CB3330'],VLPl&p1_posterior,,['feedforward_loop_participant'; '3_cycle_participant'],left,53,51
720575940604458720,['aIPg3'],MB_VL.SMP.12,ACH,intrinsic,central,,,['CB1618'],VLPl&p1_posterior,,['feedforward_loop_participant'; '3_cycle_participant'],left,61,38
720575940632525920,['aIPg3'],AVLP.904,ACH,intrinsic,central,,,['AVLP494'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,954,829
720575940634418784,['aIPg3'],AVLP.SMP.46,ACH,intrinsic,central,,,[],VLPl&p1_posterior,,['reciprocal'; 'feedforward_loop_participant'],right,91,114
720575940634248559,['aIPg3'],SMP.GOR.2,ACH,intrinsic,central,,,['CB1618'],VLPl&p1_posterior,,[],right,30,16
720575940640795507,['aIPg3'],AVLP.SMP.31,ACH,intrinsic,central,,,['SMP570a'; 'SMP570'],VLPl&p1_posterior,,['rich_club'; 'feedforward_loop_participant'; '3_cycle_participant'],left,164,275
