rPos_deg,AOTU002_a,AOTU002_c,AOTU005_3,AOTU015_4,AOTU016_a,AOTU016_c,AOTU019_7,AOTU025_8,AOTU026_9,AOTU027_10,LAL026_a,LAL027_12,LAL028_13,LAL029_e
77.3275862068966,0.000158078775252961,0.00637870266358687,0.20745571876222,0.2381155641172,0.233830312312016,0.0107782981503434,0.448413036897725,0.675978949196269,0.119873943007082,0.0744156025623085,0.240810602014487,0.218269775067249,0.307627359695236,0.15599188361716
77.7155172413793,6.33334918186594e-05,0.00632849469190929,0.207359226671896,0.238107026208163,0.233023818633568,0.0108014789597172,0.439885383390111,0.675904209738473,0.119986065933575,0.0749009618943953,0.240253699360901,0.218563327300987,0.307688549360077,0.155447630052738
78.1034482758621,5.11536205885311e-17,0.00625574668897007,0.207256880923891,0.238106267630741,0.232258589827171,0.0108168976562644,0.431524607326651,0.676089550782541,0.12012083712977,0.0753902017366812,0.239504831130416,0.218867019428432,0.307685397117253,0.154405736226201
78.4913793103448,5.11536205885311e-17,0.0061545794434561,0.207143451544461,0.238044441617501,0.231388770685515,0.0108204205219613,0.423386889852658,0.676312017718634,0.120265670224779,0.0758877366351816,0.238701670039443,0.21913083513957,0.307583747104405,0.153436158771628
78.8793103448276,5.11536205885311e-17,0.00601885883084963,0.207031983239256,0.237904852587529,0.230272835811123,0.0108059315337455,0.415223722396918,0.676600820523893,0.120409783184101,0.0762583608762256,0.23773413363421,0.219372710938739,0.307386625529812,0.152475947688402
79.2672413793103,2.72819309805499e-17,0.00584299362834977,0.206917192792222,0.237732339604621,0.228870438548609,0.0107767298303739,0.407032683619117,0.677057207636688,0.120562776208893,0.0764634031002014,0.236800964553351,0.219649626799901,0.307140627778618,0.151608948057792
79.6551724137931,2.72819309805499e-17,0.00562210716797604,0.206802471444902,0.237511873086269,0.227112350053821,0.010733074702996,0.398864614331713,0.677531802505123,0.120715723009103,0.0765416674875593,0.235883356230088,0.219899942008631,0.306896316616384,0.150927586208422
80.0431034482759,2.72819309805499e-17,0.00535571412484165,0.206685599432013,0.237211002668005,0.225005852899179,0.0106833668774666,0.390814520204281,0.677736241979515,0.120824590850515,0.0764590706933764,0.235048157523673,0.220090090778276,0.306493964628246,0.150306490932616
80.4310344827586,5.11536205885311e-17,0.00504504182685256,0.20657386857831,0.236749902739387,0.222508371838236,0.0106156253858641,0.383068408835224,0.677352980158148,0.120873790565141,0.076224080278473,0.234322092833866,0.220136518771331,0.3060154614519,0.149905054152277
80.8189655172414,5.11536205885311e-17,0.00469619104398473,0.206471419817716,0.236169721322171,0.219531424968787,0.0105300709184807,0.375510679065357,0.676508195264204,0.120870143697762,0.0758610465305843,0.233715448240355,0.220107305269844,0.305492404276675,0.149436353352645
81.2068965517241,5.11536205885311e-17,0.00430745907820893,0.206423172796703,0.235490807234052,0.216126560991557,0.0104296559425902,0.368220049517677,0.675521844110887,0.12081966291881,0.0753990612884643,0.233349678850651,0.220039481753339,0.304991999762941,0.149115378262115
81.5948275862069,2.72819309805499e-17,0.00389305510944375,0.206359506878235,0.234728179930844,0.21243164551752,0.010316525963837,0.361282004773825,0.673932088985555,0.120691323801627,0.0748635168145033,0.233117977544872,0.219853987226163,0.304577120332657,0.148789279164409
81.9827586206897,5.11536205885311e-17,0.00346226475210136,0.206313894745365,0.233938941838579,0.208555942731229,0.0101968527477242,0.354777214537837,0.672031020003,0.120539863658383,0.0743822912281621,0.233092760697082,0.219601135242022,0.304332952306211,0.148993504104705
82.3706896551724,5.11536205885311e-17,0.00302725905432247,0.206295575538944,0.233106916511004,0.204626980226546,0.0100596539014763,0.348545639298344,0.670037316987354,0.120364659737205,0.073886243914224,0.23324177235534,0.219283206702389,0.304285745655865,0.149306127731186
