neuropil,neuron,count
COURT_vnc_ABDNM,720575941562164392,1529
COURT_vnc_ABDNM,720575941485636237,306
COURT_vnc_ABDNM,720575941413684369,623
COURT_vnc_ABDNM,720575941515051513,0
COURT_vnc_ABDNM,720575941597998528,1223
COURT_vnc_ABDNM,720575941583469663,534
COURT_vnc_ABDNM,720575941415707420,0
COURT_vnc_ABDNM,720575941559176942,0
COURT_vnc_ABDNM,720575941594580081,9
COURT_vnc_ABDNM,720575941632945339,217
COURT_vnc_ABDNM,720575941561781650,0
COURT_vnc_ABDNM,720575941495051463,30
COURT_vnc_ABDNM,720575941401308195,344
COURT_vnc_ABDNM,720575941477812131,0
COURT_vnc_ABDNM,720575941624691914,5
COURT_vnc_ABDNM,720575941553464986,0
COURT_vnc_ABDNM,720575941460188883,99
COURT_vnc_ABDNM,720575941490590924,0
COURT_vnc_ABDNM,720575941475764801,61
COURT_vnc_ABDNM,720575941631079660,37
COURT_vnc_ABDNM,720575941452179271,0
COURT_vnc_ABDNM,720575941604530366,0
COURT_vnc_ABDNM,720575941480480963,408
COURT_vnc_ABDNM,720575941485764358,83
COURT_vnc_ABDNM,720575941690565016,13
COURT_vnc_ABDNM,720575941644756168,0
COURT_vnc_ABDNM,720575941667841011,1250
COURT_vnc_ABDNM,720575941525186818,0
COURT_vnc_ABDNM,720575941642906529,302
COURT_vnc_ABDNM,720575941504090162,0
COURT_vnc_ABDNM,720575941553103751,0
COURT_vnc_ABDNM,720575941545280105,0
COURT_vnc_ABDNM,720575941449126325,0
COURT_vnc_ABDNM,720575941503493570,2242
COURT_vnc_ABDNM,720575941559729267,535
COURT_vnc_ABDNM,720575941567684654,514
COURT_vnc_ABDNM,720575941564751458,297
COURT_vnc_ABDNM,720575941567580974,0
COURT_vnc_ABDNM,720575941687897462,0
COURT_vnc_ABDNM,720575941456741279,194
COURT_vnc_ABDNM,720575941559505779,0
COURT_vnc_ABDNM,720575941581304185,44
COURT_vnc_ABDNM,720575941508799442,117
COURT_vnc_ABDNM,720575941528439992,48
COURT_vnc_ABDNM,720575941548470049,0
COURT_vnc_ABDNM,720575941470575991,278
COURT_vnc_ABDNM,720575941593088363,0
COURT_vnc_ABDNM,720575941507664930,0
COURT_vnc_ABDNM,720575941526772390,0
COURT_vnc_ABDNM,720575941430250377,0
COURT_vnc_ABDNM,720575941480387491,0
COURT_vnc_ABDNM,720575941411620207,2221
COURT_vnc_ABDNM,720575941638614645,1241
COURT_vnc_ABDNM,720575941573324795,0
COURT_vnc_ABDNM,720575941523626315,29
COURT_vnc_ABDNM,720575941585402078,74
COURT_vnc_ABDNM,720575941588481591,0
COURT_vnc_ABDNM,720575941573670921,0
COURT_vnc_ABDNM,720575941515219961,0
COURT_vnc_ABDNM,720575941507557505,0
COURT_vnc_ABDNM,720575941507894366,0
COURT_vnc_ABDNM,720575941643882872,0
COURT_vnc_ABDNM,720575941470901259,830
COURT_vnc_ABDNM,720575941665623283,0
COURT_vnc_ABDNM,720575941539809997,97
COURT_vnc_ABDNM,720575941456625567,0
COURT_vnc_ABDNM,720575941553150747,1101
COURT_vnc_ABDNM,720575941491232999,553
COURT_vnc_ABDNM,720575941597556124,280
COURT_vnc_ABDNM,720575941438952895,0
COURT_vnc_ABDNM,720575941642462565,76
COURT_vnc_ABDNM,720575941479543776,42
COURT_vnc_ABDNM,720575941469190667,12
COURT_vnc_ABDNM,720575941476567601,0
COURT_vnc_ABDNM,720575941613881753,217
COURT_vnc_ABDNM,720575941591988776,0
COURT_vnc_ABDNM,720575941574140169,0
COURT_vnc_ABDNM,720575941557473572,0
COURT_vnc_ABDNM,720575941651301909,5658
COURT_vnc_ABDNM,720575941479901314,322
COURT_vnc_ABDNM,720575941547561608,305
COURT_vnc_ABDNM,720575941441134171,0
COURT_vnc_ABDNM,720575941545432425,0
COURT_vnc_ABDNM,720575941623175579,1061
COURT_vnc_ABDNM,720575941583956063,135
COURT_vnc_ABDNM,720575941722218298,101
COURT_vnc_ABDNM,720575941466194454,0
COURT_vnc_ABDNM,720575941536734947,208
COURT_vnc_ABDNM,720575941473313578,387
COURT_vnc_ABDNM,720575941562640296,0
COURT_vnc_ABDNM,720575941492588976,207
COURT_vnc_ABDNM,720575941452046663,0
COURT_vnc_ABDNM,720575941561743872,0
COURT_vnc_ABDNM,720575941568756980,52
COURT_vnc_ABDNM,720575941564679575,0
COURT_vnc_ABDNM,720575941437924652,0
COURT_vnc_ABDNM,720575941680164285,6
COURT_vnc_ABDNM,720575941485780176,0
COURT_vnc_ABDNM,720575941558316915,0
COURT_vnc_ABDNM,720575941642935141,334
COURT_vnc_ABDNM,720575941472630368,3778
COURT_vnc_ABDNM,720575941477427306,0
COURT_vnc_ABDNM,720575941618678655,0
COURT_vnc_ABDNM,720575941430120289,0
COURT_vnc_ABDNM,720575941589066551,0
COURT_vnc_ABDNM,720575941557943155,0
COURT_vnc_ABDNM,720575941467350237,0
COURT_vnc_ABDNM,720575941430120440,307
COURT_vnc_ABDNM,720575941447480654,2434
COURT_vnc_ABDNM,720575941470349687,0
COURT_vnc_ABDNM,720575941541271325,0
COURT_vnc_ABDNM,720575941479114976,0
COURT_vnc_ABDNM,720575941633146043,6417
COURT_vnc_ABDNM,720575941505709372,7
COURT_vnc_ABDNM,720575941512845009,837
COURT_vnc_ABDNM,720575941625794186,515
COURT_vnc_ABDNM,720575941568894202,0
COURT_vnc_ABDNM,720575941535128808,0
COURT_vnc_ABDNM,720575941584992646,0
COURT_vnc_ABDNM,720575941632652987,0
COURT_vnc_ABDNM,720575941485430992,0
COURT_vnc_ABDNM,720575941465233174,586
COURT_vnc_ABDNM,720575941432080398,213
COURT_vnc_ABDNM,720575941559017710,1273
COURT_vnc_ABDNM,720575941434752398,314
COURT_vnc_ABDNM,720575941565484391,638
COURT_vnc_ABDNM,720575941489274057,0
COURT_vnc_ABDNM,720575941513611866,160
COURT_vnc_ABDNM,720575941599689257,3968
COURT_vnc_ABDNM,720575941473372714,524
COURT_vnc_ABDNM,720575941435386668,0
COURT_vnc_ABDNM,720575941573671581,161
COURT_vnc_ABDNM,720575941687810828,6174
COURT_vnc_ABDNM,720575941607114349,212
COURT_vnc_ABDNM,720575941413315473,0
COURT_vnc_ABDNM,720575941514608995,0
COURT_vnc_ABDNM,720575941413642268,0
COURT_vnc_ABDNM,720575941565694262,0
COURT_vnc_ABDNM,720575941668763303,0
COURT_vnc_ABDNM,720575941482817466,1213
COURT_vnc_ABDNM,720575941401398563,255
COURT_vnc_ABDNM,720575941438957653,0
COURT_vnc_ABDNM,720575941514273091,0
COURT_vnc_ABDNM,720575941508471824,0
COURT_vnc_ABDNM,720575941519531443,0
COURT_vnc_ABDNM,720575941551618843,0
COURT_vnc_ABDNM,720575941518547310,0
COURT_vnc_ABDNM,720575941470195723,313
COURT_vnc_ABDNM,720575941447374005,0
COURT_vnc_ABDNM,720575941553118209,0
COURT_vnc_ABDNM,720575941516898520,727
COURT_vnc_ABDNM,720575941443456170,0
COURT_vnc_ABDNM,720575941562495912,136
COURT_vnc_ABDNM,720575941493634759,0
COURT_vnc_ABDNM,720575941390915222,0
COURT_vnc_ABDNM,720575941687675916,0
COURT_vnc_ABDNM,720575941471127104,0
COURT_vnc_ABDNM,720575941563681799,3862
COURT_vnc_ABDNM,720575941470997259,0
COURT_vnc_ABDNM,720575941514456569,0
COURT_vnc_ABDNM,720575941429716321,0
COURT_vnc_ABDNM,720575941611145830,221
COURT_vnc_ABDNM,720575941539816061,0
COURT_vnc_ABDNM,720575941410077355,1209
COURT_vnc_ABDNM,720575941470933824,0
COURT_vnc_ABDNM,720575941438395967,0
COURT_vnc_ABDNM,720575941476183089,1431
COURT_vnc_ABDNM,720575941478813152,0
COURT_vnc_ABDNM,720575941538623218,0
COURT_vnc_ABDNM,720575941390112772,0
COURT_vnc_ABDNM,720575941653136913,0
COURT_vnc_ABDNM,720575941400285475,0
